Class,Precision,Recall,F1-Score,Support
BenignTraffic,0.0796,0.3676,0.1309,1409.0
DDoS-HTTP_Flood,0.0041,0.0015,0.0022,671.0
DDoS-SlowLoris,0.2537,0.0192,0.0357,886.0
DNS_Spoofing,0.0444,0.0305,0.0362,491.0
DictionaryBruteForce,0.0313,0.0367,0.0338,409.0
DoS-HTTP_Flood,0.0690,0.0028,0.0055,704.0
MITM-ArpSpoofing,0.0000,0.0000,0.0000,94.0
Recon-HostDiscovery,0.2917,0.0016,0.0031,4433.0
Recon-OSScan,0.0000,0.0000,0.0000,1713.0
SqlInjection,0.0450,0.5732,0.0834,485.0
VulnerabilityScan,0.1765,0.0012,0.0023,2597.0
accuracy,,,0.0616,
macro avg,0.0905,0.0940,0.0303,13892.0
weighted avg,0.1581,0.0616,0.0226,13892.0
