Class,Precision,Recall,F1-Score,Support
Injection_normal,0.0763,0.0146,0.0245,684.0
MITM_normal,0.0051,0.1692,0.0098,331.0
normal_DDoS,0.2955,0.1739,0.2190,5141.0
normal_DoS,0.0093,0.0091,0.0092,110.0
normal_XSS,0.0000,0.0000,0.0000,2457.0
normal_backdoor,0.0000,0.0000,0.0000,151.0
normal_pcaps,0.0167,0.0220,0.0190,91.0
normal_runsomware,0.0340,0.1660,0.0565,259.0
normal_scanning,0.3117,0.0243,0.0451,5928.0
password_normal,0.1250,0.0028,0.0054,1077.0
accuracy,,,0.0710,
macro avg,0.0874,0.0582,0.0388,16229.0
weighted avg,0.2198,0.0710,0.0885,16229.0
