Class,Precision,Recall,F1-Score,Support
Injection_normal,0.0719,0.0585,0.0645,684.0
MITM_normal,0.0299,0.0423,0.0350,331.0
normal_DDoS,0.3351,0.0852,0.1359,5141.0
normal_DoS,0.0056,0.0182,0.0086,110.0
normal_XSS,0.2215,0.1083,0.1454,2457.0
normal_backdoor,0.0161,0.1258,0.0286,151.0
normal_pcaps,0.0022,0.0989,0.0043,91.0
normal_runsomware,0.0065,0.0888,0.0122,259.0
normal_scanning,0.4532,0.0555,0.0989,5928.0
password_normal,0.0546,0.1421,0.0788,1077.0
accuracy,,,0.0797,
macro avg,0.1197,0.0824,0.0612,16229.0
weighted avg,0.3128,0.0797,0.1104,16229.0
