Class,Precision,Recall,F1-Score,Support
Injection_normal,0.0000,0.0000,0.0000,684.0
MITM_normal,0.0444,0.0181,0.0258,331.0
normal_DDoS,0.3930,0.0282,0.0526,5141.0
normal_DoS,0.0079,0.0818,0.0144,110.0
normal_XSS,0.1702,0.1905,0.1798,2457.0
normal_backdoor,0.0089,0.0662,0.0157,151.0
normal_pcaps,0.0000,0.0000,0.0000,91.0
normal_runsomware,0.0238,0.3359,0.0444,259.0
normal_scanning,0.1795,0.0035,0.0069,5928.0
password_normal,0.0301,0.1931,0.0520,1077.0
accuracy,,,0.0588,
macro avg,0.0858,0.0917,0.0392,16229.0
weighted avg,0.2192,0.0588,0.0514,16229.0
