Class,Precision,Recall,F1-Score,Support
BitTorrent,0.0000,0.0000,0.0000,752.0
Cridex,0.0000,0.0000,0.0000,1041.0
FTP,0.0000,0.0000,0.0000,3082.0
Facetime,0.0000,0.0000,0.0000,600.0
Geodo,0.0000,0.0000,0.0000,1737.0
Gmail,0.0466,0.9571,0.0889,863.0
Htbot,0.0000,0.0000,0.0000,366.0
Miuref,0.0000,0.0000,0.0000,1194.0
MySQL,0.2544,0.0084,0.0163,3449.0
Neris,0.0000,0.0000,0.0000,420.0
Nsis-ay,0.0000,0.0000,0.0000,103.0
Outlook,0.0000,0.0000,0.0000,752.0
Shifu,0.0169,0.0057,0.0085,175.0
Skype,0.0000,0.0000,0.0000,632.0
Tinba,0.2936,0.0376,0.0667,851.0
Virut,0.0000,0.0000,0.0000,642.0
Weibo,0.0000,0.0000,0.0000,268.0
WorldOfWarcraft,0.0000,0.0000,0.0000,458.0
Zeus,0.0303,0.0097,0.0147,929.0
accuracy,,,0.0490,
macro avg,0.0338,0.0536,0.0103,18314.0
weighted avg,0.0654,0.0490,0.0112,18314.0
