Class,Precision,Recall,F1-Score,Support
BitTorrent,0.0620,0.0891,0.0731,752.0
Cridex,0.1568,0.0509,0.0769,1041.0
FTP,0.0000,0.0000,0.0000,3082.0
Facetime,0.0356,0.1050,0.0531,600.0
Geodo,0.0767,0.0593,0.0669,1737.0
Gmail,0.0452,0.0359,0.0400,863.0
Htbot,0.0408,0.0055,0.0096,366.0
Miuref,0.1086,0.1633,0.1305,1194.0
MySQL,0.0769,0.0119,0.0206,3449.0
Neris,0.0231,0.0452,0.0306,420.0
Nsis-ay,0.0018,0.0874,0.0035,103.0
Outlook,0.0101,0.0013,0.0024,752.0
Shifu,0.0000,0.0000,0.0000,175.0
Skype,0.0147,0.0427,0.0219,632.0
Tinba,0.0056,0.0012,0.0019,851.0
Virut,0.0414,0.0670,0.0512,642.0
Weibo,0.0036,0.0075,0.0048,268.0
WorldOfWarcraft,0.0188,0.0371,0.0250,458.0
Zeus,0.0096,0.0011,0.0019,929.0
accuracy,,,0.0369,
macro avg,0.0385,0.0427,0.0323,18314.0
weighted avg,0.0486,0.0369,0.0342,18314.0
