Class,Precision,Recall,F1-Score,Support
BitTorrent,0.0514,0.2793,0.0869,752.0
Cridex,0.0357,0.0010,0.0019,1041.0
FTP,0.1765,0.2187,0.1954,3082.0
Facetime,0.0122,0.0067,0.0086,600.0
Geodo,0.0000,0.0000,0.0000,1737.0
Gmail,0.0673,0.0510,0.0580,863.0
Htbot,0.0141,0.0355,0.0202,366.0
Miuref,0.0000,0.0000,0.0000,1194.0
MySQL,0.2846,0.0209,0.0389,3449.0
Neris,0.0000,0.0000,0.0000,420.0
Nsis-ay,0.0038,0.0194,0.0063,103.0
Outlook,0.0982,0.0146,0.0255,752.0
Shifu,0.1818,0.0114,0.0215,175.0
Skype,0.0367,0.2848,0.0650,632.0
Tinba,0.0591,0.1351,0.0823,851.0
Virut,0.0716,0.0514,0.0598,642.0
Weibo,0.0000,0.0000,0.0000,268.0
WorldOfWarcraft,0.0680,0.0218,0.0331,458.0
Zeus,0.4167,0.0054,0.0106,929.0
accuracy,,,0.0751,
macro avg,0.0830,0.0609,0.0376,18314.0
weighted avg,0.1264,0.0751,0.0581,18314.0
